antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,pair
DRY NOODLES/PASTA,PASTA SAUCE,0.025284617421233783,0.020986154588920555,0.0030058091544799014,0.1188789651986449,5.664637830382034,1.0,0.0024751822645561754,1.111100299213483,0.8448273435515344,0.06947444204463643,0.0999912422777024,0.1310535827848512,1,1,"('DRY NOODLES/PASTA', 'PASTA SAUCE')"
DINNER MXS:DRY,MEAT - SHELF STABLE,0.026880966842654456,0.031631079755174506,0.0031693376317961657,0.1179026651216686,3.7274309329380695,1.0,0.002319063625699961,1.0978027956273029,0.7519313459649231,0.057267482763472634,0.08908958513939368,0.10904980621913071,1,1,"('DINNER MXS:DRY', 'MEAT - SHELF STABLE')"
DINNER MXS:DRY,DRY BN/VEG/POTATO/RICE,0.026880966842654456,0.028601909389649426,0.0025775202853182575,0.09588644264194669,3.3524490038642827,1.0,0.0018086733073784842,1.0744204449813939,0.7210943128796894,0.048719458345599057,0.06926566348305352,0.09300175657825621,1,1,"('DINNER MXS:DRY', 'DRY BN/VEG/POTATO/RICE')"
BAKING MIXES,BAKING NEEDS,0.02438910433116853,0.0209316450964818,0.001697581335949789,0.06960408684546615,3.3253041757890895,1.0,0.001187077259868702,1.05231368824908,0.71675668455894,0.03891467333095323,0.04971301697702277,0.07535263866082831,1,1,"('BAKING MIXES', 'BAKING NEEDS')"
PWDR/CRYSTL DRNK MX,DINNER MXS:DRY,0.016399570153716767,0.026880966842654456,0.0013938855923624413,0.08499525166191833,3.16191200113564,1.0,0.0009530492908265953,1.0635125499892941,0.6951355887045326,0.03327756088492285,0.059719605556073085,0.06842462467221061,1,1,"('DINNER MXS:DRY', 'PWDR/CRYSTL DRNK MX')"
DINNER MXS:DRY,PWDR/CRYSTL DRNK MX,0.026880966842654456,0.016399570153716767,0.0013938855923624413,0.05185399768250289,3.1619120011356396,1.0,0.0009530492908265953,1.0373934261623494,0.7026228452574856,0.03327756088492285,0.03604555920571011,0.06842462467221061,1,1,"('DINNER MXS:DRY', 'PWDR/CRYSTL DRNK MX')"
DRY BN/VEG/POTATO/RICE,VEGETABLES - SHELF STABLE,0.028601909389649426,0.055046800292793845,0.0047189646311264774,0.16498774843452219,2.9972268607249215,1.0,0.0031445210369618606,1.131663874315151,0.6859785513602866,0.059786898184688235,0.11634538956616428,0.1253570797625999,1,1,"('DRY BN/VEG/POTATO/RICE', 'VEGETABLES - SHELF STABLE')"
PASTA SAUCE,DINNER MXS:DRY,0.020986154588920555,0.026880966842654456,0.0016742201249046085,0.07977736549165122,2.9678011940054656,1.0,0.0011100919992450145,1.0574821751447767,0.6772633598891917,0.03624409979770735,0.054357583036240796,0.07103005006911646,1,1,"('DINNER MXS:DRY', 'PASTA SAUCE')"
DINNER MXS:DRY,PASTA SAUCE,0.026880966842654456,0.020986154588920555,0.0016742201249046085,0.0622827346465817,2.967801194005465,1.0,0.0011100919992450145,1.0440394792582781,0.681365982710088,0.03624409979770735,0.04218181412983088,0.07103005006911646,1,1,"('DINNER MXS:DRY', 'PASTA SAUCE')"
PWDR/CRYSTL DRNK MX,MEAT - SHELF STABLE,0.016399570153716767,0.031631079755174506,0.0015262657882851314,0.09306742640075974,2.9422778836860575,1.0,0.001007529676802337,1.0677408094427236,0.6711335778848876,0.03281982585398526,0.06344312106800448,0.07065975948299927,1,1,"('MEAT - SHELF STABLE', 'PWDR/CRYSTL DRNK MX')"
